ID,Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
174,Sri Lanka,"1,246","1,431","1,894","2,191","1,831","1,935","2,009","2,036","2,053","1,994","2,480","2,928","3,303"
175,Sudan,"1,883","3,211","5,231","5,504","2,930","3,598","3,577","2,397","2,628","2,471","1,847","1,767","1,763"
176,Suriname,180,166,300,314,197,218,227,216,196,187,"1,945","2,442","3,580"
177,Swaziland,23,15,16,11,13,18,42,22,19,24,178,158,134
178,Sweden,963,"1,270","1,517","1,376","1,145","1,019","1,138","1,097",979,968,15,23,19
179,Switzerland,632,855,"1,092",983,705,720,798,675,615,635,"1,106",954,"1,066"
180,Syria,"1,938","2,256","2,831","2,918","2,385","2,641","2,442","2,555","2,785","3,014",697,656,640
181,Taiwan,"6,917","9,005","9,196","8,086","8,990","9,073","8,038","6,732","6,154","5,331","3,366","3,540","3,840"
182,Tajikistan,137,167,207,239,172,231,265,299,382,411,"5,385","4,697","4,888"
183,Tanzania,554,747,829,949,832,838,"2,773","1,850","1,427","1,516",550,516,595
184,Thailand,"3,126","4,318","5,505","11,749","8,751","6,637","10,444","9,384","9,962","9,459",837,774,799
185,Togo,"1,187","2,041","1,523","1,720","1,565","1,661","1,680","1,563","1,506","1,756","7,583","6,197","7,502"
186,Tonga,238,327,309,437,438,365,379,343,408,276,"1,257","1,612","1,547"
187,Trinidad and Tobago,"4,138","5,384","6,568","8,854","6,829","5,937","6,256","5,435","5,023","5,214",348,320,327
188,Tunisia,353,457,495,510,417,410,416,418,440,422,"4,724","3,988","3,212"
189,Turkey,"3,029","3,835","4,614","4,941","4,425","4,210","4,958","4,483","4,403","4,162",445,429,518
190,Turkmenistan,84,117,148,248,217,274,290,224,260,223,"4,144","3,834","4,201"
191,Turks and Caicos Islands,26,28,34,52,31,35,31,29,33,30,210,254,226
192,U.S. Virgin Islands,4,13,8,7,3,NULL,NULL,NULL,NULL,NULL,50,40,38
193,Uganda,455,721,858,"1,372","1,122","1,174","1,364","1,085","1,239","1,340","1,350","1,409","1,664"
194,Ukraine,"11,633","14,156","22,745","17,140","11,001","10,813","11,223","8,477","8,292","7,642","8,193","7,752","7,987"
195,United Arab Emirates,380,586,812,"1,006",758,693,697,779,707,854,910,"1,039","1,193"
196,United Kingdom,"9,527","14,915","19,800","17,207","14,545","14,348","15,748","12,792","11,572","12,014","12,984","12,225","12,592"
197,United States,32,57,183,333,171,216,181,201,269,279,319,358,370
198,Uruguay,469,787,"1,154","1,664","1,418","1,451","1,775","1,331","1,553","1,374","1,352","1,128","1,078"
199,Uzbekistan,"1,445","1,995","2,887","4,015","4,665","6,375","5,467","4,770","5,056","4,726","4,382","5,194","3,977"
200,Venezuela,"4,018","6,220","10,645","11,341","10,692","10,514","11,154","9,409","9,183","9,387","9,572","8,427","9,144"
201,Vietnam,"22,087","31,524","32,784","30,691","28,691","31,497","29,234","30,632","34,157","28,304","27,101","30,283","30,832"
202,Yemen,"1,382","1,760","3,366","4,308","2,396","1,872","3,134","3,591","3,361","2,620","3,532","3,492","3,194"
203,Zambia,280,359,499,672,576,613,704,628,652,643,505,441,460
204,Zimbabwe,358,628,923,"1,049","1,057",953,983,"1,274","1,016",914,924,797,779
205,All other countries,26,24,42,32,20,22,33,24,25,23,27,31,34
206,Unknown,"1,201","3,227","5,303","2,734","1,394","1,394","1,366","1,330","1,245","1,206","3,263","1,150",677
